,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,2014-12-31,0.0,0.0,0.0
1,2019-04-01,-38.85,38.85,0.0
2,2020-01-12,33.5,-33.48,-0.01
3,2021-02-20,-38.38,38.38,0.0
4,2021-08-05,3.43,-3.44,0.01
5,2021-11-02,-6.05,6.07,-0.01
6,2022-01-06,46.05,-46.05,-0.0
7,2022-02-05,-45.66,45.66,0.0
8,2022-02-13,-0.4,0.39,0.01
9,2022-02-20,0.0,0.0,0.0
10,2022-03-01,0.33,-0.33,0.0
11,2022-03-09,1.25,-1.25,0.0
12,2022-03-17,-1.23,1.23,0.0
13,2022-03-24,0.05,-0.05,-0.0
14,2022-03-25,-0.04,0.04,0.0
15,2022-04-01,-0.37,0.37,0.0
16,2022-05-20,0.0,0.0,0.0
17,2022-06-21,0.45,-0.45,0.0
18,2022-07-15,-0.45,0.45,0.0
19,2022-08-08,0.0,-0.0,0.0
20,2022-09-08,0.0,-0.0,0.0
21,2022-10-13,0.4,-0.39,-0.01
22,2022-12-30,0.42,-0.43,0.01
23,2023-01-07,-0.49,0.49,0.0
24,2023-01-14,0.47,-0.47,-0.0
25,2023-02-07,-0.8,0.8,0.0
26,2023-02-08,0.0,0.0,0.0
27,2023-02-10,1.57,-1.57,-0.01
28,2023-02-15,-0.49,0.49,0.0
29,2023-02-16,-1.08,1.07,0.01
30,2023-02-24,1.01,-1.01,0.0
31,2023-02-25,0.21,-0.2,-0.01
32,2023-03-04,-1.21,1.21,0.01
33,2023-04-29,0.37,-0.37,0.0
34,2023-06-08,0.53,-0.53,0.0
35,2023-06-16,-0.55,0.54,0.01
36,2023-07-01,6.63,-6.64,0.01
37,2023-07-02,-6.98,7.0,-0.02
38,2023-07-26,5.13,-5.14,0.02
39,2023-08-02,0.2,-0.2,0.0
40,2023-09-03,-5.01,5.03,-0.02
41,2023-10-21,0.87,-0.86,-0.0
42,2023-10-29,-1.19,1.18,0.0
43,2024-03-21,40.28,-40.28,0.0
44,2024-04-06,-40.28,40.28,-0.0
45,2024-05-01,0.39,-0.39,0.0
46,2024-05-09,-0.02,0.02,0.0
47,2024-05-25,-0.38,0.38,0.0
48,2024-06-01,4.91,-4.93,0.02
49,2024-06-10,-4.49,4.51,-0.02
50,2024-07-20,-0.42,0.42,0.0
51,2024-08-13,0.38,-0.38,0.0
52,2024-08-29,9.94,-9.94,0.0
53,2024-10-15,-10.32,10.32,-0.0
54,2024-12-16,1.22,-1.19,-0.02
55,2025-01-04,-0.73,0.71,0.02
56,2025-01-11,-0.11,0.11,-0.0
57,2025-01-12,-0.38,0.38,0.0
58,2025-02-14,0.34,-0.32,-0.02
59,2025-05-04,42.54,-42.57,0.02
