,date,sand_area_percentage_change,water_area_percentage_change,vegetation_area_percentage_change
0,2002-01-22,0.0,0.0,0.0
1,2014-03-27,-0.03,-0.0,0.03
2,2019-01-12,45.08,-45.01,-0.07
3,2019-02-08,-0.67,0.69,-0.02
4,2019-02-18,1.71,-1.7,-0.0
5,2019-03-13,-44.6,44.53,0.07
6,2019-04-02,21.61,-21.67,0.06
7,2019-04-17,-22.89,22.86,0.03
8,2019-04-29,1.24,-1.21,-0.02
9,2019-07-16,1.51,-1.53,0.02
10,2019-10-26,-1.22,1.21,0.0
11,2019-12-28,47.3,-47.15,-0.14
12,2020-01-19,-48.41,48.39,0.02
13,2020-01-24,-0.33,0.36,-0.03
14,2020-01-29,3.06,-3.06,-0.0
15,2020-02-23,-3.32,3.3,0.02
16,2020-03-14,5.5,-5.47,-0.03
17,2020-03-29,-5.6,5.47,0.13
18,2020-04-21,2.19,-2.22,0.03
19,2020-07-07,29.0,-29.05,0.05
20,2020-08-29,-28.93,28.98,-0.05
21,2020-09-03,-2.07,2.07,0.0
22,2020-10-03,0.03,-0.03,-0.0
23,2021-01-23,2.23,-2.06,-0.17
24,2021-02-12,44.09,-44.11,0.02
25,2021-03-14,-42.92,42.77,0.15
26,2021-03-23,-3.61,3.65,-0.04
27,2021-04-13,0.15,-0.18,0.03
28,2021-04-18,1.76,-1.76,0.01
29,2021-04-24,-1.9,1.95,-0.05
30,2021-05-01,0.42,-0.47,0.05
31,2021-05-03,1.28,-1.27,-0.01
32,2021-05-26,7.63,-7.58,-0.05
33,2021-05-31,-8.72,8.69,0.03
34,2021-08-09,3.42,-3.42,0.0
35,2021-10-25,31.92,-31.94,0.02
36,2022-03-26,-35.95,35.98,-0.03
37,2022-06-10,2.78,-2.8,0.02
38,2022-08-01,34.63,-34.53,-0.1
39,2022-08-26,-36.07,35.97,0.1
40,2022-10-23,47.75,-47.76,0.01
41,2023-03-19,-48.46,48.48,-0.01
42,2023-05-11,-0.48,0.48,0.0
43,2023-08-28,-0.16,0.17,-0.01
44,2023-09-18,1.33,-1.35,0.01
45,2023-09-30,46.03,-46.03,0.0
46,2023-10-03,-45.13,44.99,0.14
47,2024-02-15,30.49,-30.23,-0.26
48,2024-03-16,-30.18,30.15,0.03
49,2024-04-22,45.52,-45.55,0.03
50,2024-04-27,-46.21,46.13,0.08
51,2024-05-01,-1.84,1.89,-0.05
52,2024-05-02,2.93,-2.96,0.04
53,2024-05-10,32.99,-33.0,0.01
54,2024-09-27,-33.81,33.84,-0.03
55,2024-11-28,34.21,-34.14,-0.07
