,date,cumulative_IW_shoreline_position,cumulative_EOV_shoreline_position,corrected_IW_shoreline_position,EOV_shoreline_chg
0,2003-01-16,0.18,-10.56,0.18,-10.56
1,2003-12-26,28.74,-12.7,28.56,-2.14
2,2010-02-12,43.29,-13.12,14.55,-0.42
3,2014-02-07,66.64,1.68,23.35,14.8
4,2019-02-01,41.54,-0.38,-25.1,-2.06
5,2019-03-03,34.27,-1.62,-7.27,-1.24
6,2019-05-28,33.42,7.48,-0.85,9.1
7,2019-11-03,21.06,0.06,-12.36,-7.42
8,2019-11-18,16.18,1.76,-4.88,1.7
9,2019-12-28,32.68,-3.96,16.5,-5.72
10,2020-01-02,47.0,-4.76,14.32,-0.8
11,2020-02-01,57.07,-8.26,10.07,-3.5
12,2020-02-06,35.31,-8.02,-21.76,0.24
13,2020-03-27,47.97,-5.76,12.66,2.26
14,2020-08-19,66.69,-7.58,18.72,-1.82
15,2020-12-27,75.8,-11.42,9.11,-3.84
16,2021-04-15,97.14,-7.04,21.34,4.38
17,2021-10-23,118.02,-13.26,20.88,-6.22
18,2021-10-28,131.36,-14.2,13.34,-0.94
19,2022-01-06,145.02,-9.06,13.66,5.14
20,2022-01-11,137.43,-16.38,-7.59,-7.32
21,2022-01-16,49.49,-12.26,-87.94,4.12
22,2022-01-26,59.63,-11.3,10.14,0.96
23,2022-02-25,51.27,-16.64,-8.36,-5.34
24,2022-08-08,5.56,-6.72,-45.71,9.92
25,2022-09-09,-31.39,-8.28,-36.95,-1.56
26,2022-11-12,-6.52,-10.8,24.87,-2.52
27,2022-12-22,1.18,-19.2,7.7,-8.4
28,2022-12-22,13.88,-27.6,12.7,-8.4
29,2023-02-08,30.46,-20.36,16.58,7.24
30,2023-02-16,43.18,-23.5,12.72,-3.14
31,2023-03-07,24.43,-27.38,-18.75,-3.88
32,2023-10-03,42.77,-34.64,18.34,-7.26
33,2023-10-14,67.51,-24.38,24.74,10.26
34,2024-03-11,98.09,-33.06,30.58,-8.68
35,2024-03-22,116.22,-28.78,18.13,4.28
36,2024-08-21,153.21,-27.96,36.99,0.82
37,2024-08-29,150.8,-24.6,-2.41,3.36
